degree_name,field,program_description,duration,admission_requirements,institution_name,university,specialty,specialty_code,location,contact_info,bac_type,formula,formula_explanation,historical_scores_2022,historical_scores_2023,historical_scores_2024,minimum_bac_average,additional_requirements,notes,data_source
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13101,,,آداب,FG+A,,93.0381,92.2465,92.613,92.613,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13101,,,رياضيات,FG+A,,137.205,,,,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13101,,,علوم تجريبية,FG+A,,92.7119,112.8422,119.771,119.771,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13101,,,إقتصاد وتصرف,FG+A,,85.385,84.9917,93.659,93.659,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13101,,,علوم الإعلامية,FG+A,,104.195,,93.165,93.165,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,,,آداب,FG+Ang,,109.135,101.0222,115.346,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,,,رياضيات,FG+Ang,,142.5829,148.3074,151.897,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,,,علوم تجريبية,FG+Ang,,130.0157,181.6914,143.599,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,,,إقتصاد وتصرف,FG+Ang,,111.5208,92.9885,111.965,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,,,العلوم التقنية,FG+Ang,,128.86,142.1656,164.577,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,,,علوم الإعلامية,FG+Ang,,119.3174,152.047,122.413,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,,,رياضة,FG+Ang,,92.7118,180.3164,139.277,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بنابل,جامعة قرطاج,اللغة والآداب والحضارة,22101,,,آداب,FG+A,,97.7445,98.7931,99.937,99.937,,,scores_csv
