ramz_code,ramz_id,ramz_link,bac_type_id,bac_type_name,university_id,university_name,table_specialization,table_institution,table_location,table_criteria,field_of_study,seven_percent,specialty,specialty_code,minimum_bac_average,program_description,duration,admission_requirements,formula_explanation,additional_requirements,notes,contact_info,historical_scores_2011,historical_scores_2012,historical_scores_2013,historical_scores_2014,historical_scores_2015,historical_scores_2016,historical_scores_2017,historical_scores_2018,historical_scores_2019,historical_scores_2020,historical_scores_2021,historical_scores_2022,historical_scores_2023,historical_scores_2024
11102,211102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=211102,2,رياضيات,03,جامعة منوبة,الإجازة في اللغة والآداب والحضارة,كلية الآداب والفنون والإنسانيات بمنوبة,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,11102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.62,147.3711,109.732
11102,311102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=311102,3,علوم تجريبية,03,جامعة منوبة,الإجازة في اللغة والآداب والحضارة,كلية الآداب والفنون والإنسانيات بمنوبة,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,11102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.1516,149.1045,132.98
11102,411102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=411102,4,إقتصاد وتصرف,03,جامعة منوبة,الإجازة في اللغة والآداب والحضارة,كلية الآداب والفنون والإنسانيات بمنوبة,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,11102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.3506,90.4241,94.349
11102,511102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=511102,5,العلوم التقنية,03,جامعة منوبة,الإجازة في اللغة والآداب والحضارة,كلية الآداب والفنون والإنسانيات بمنوبة,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,11102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.7696,120.41,131.947
11102,611102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=611102,6,علوم الإعلامية,03,جامعة منوبة,الإجازة في اللغة والآداب والحضارة,كلية الآداب والفنون والإنسانيات بمنوبة,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,11102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0482,132.9101,121.939
11102,711102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=711102,7,رياضة,03,جامعة منوبة,الإجازة في اللغة والآداب والحضارة,كلية الآداب والفنون والإنسانيات بمنوبة,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,11102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0116,157.5789,168.926
12101,112101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=112101,1,آداب,02,جامعة تونس المنار,الإجازة في اللغة والآداب والحضارة,المعهد العالي للعلوم الإنسانية بتونس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,12101,98.497,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.7994,92.5623,98.497
12101,212101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=212101,2,رياضيات,02,جامعة تونس المنار,الإجازة في اللغة والآداب والحضارة,المعهد العالي للعلوم الإنسانية بتونس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,12101,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.43,0.0,0.0
12101,312101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=312101,3,علوم تجريبية,02,جامعة تونس المنار,الإجازة في اللغة والآداب والحضارة,المعهد العالي للعلوم الإنسانية بتونس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,12101,124.029,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.3425,102.8056,124.029
12101,412101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=412101,4,إقتصاد وتصرف,02,جامعة تونس المنار,الإجازة في اللغة والآداب والحضارة,المعهد العالي للعلوم الإنسانية بتونس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,12101,96.76,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0066,85.7934,96.76
12101,612101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=612101,6,علوم الإعلامية,02,جامعة تونس المنار,الإجازة في اللغة والآداب والحضارة,المعهد العالي للعلوم الإنسانية بتونس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,12101,104.074,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.4896,104.074
