degree_name,field,institution_name,university,specialty,specialty_code,bac_type,formula,min_score_2024,min_score_2023,min_score_2022
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13101,علوم الإعلامية,FG+A,93.165,,104.195
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,آداب,FG+Ang,115.346,101.0222,109.135
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,رياضيات,FG+Ang,151.897,148.3074,142.5829
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,علوم تجريبية,FG+Ang,143.599,181.6914,130.0157
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,إقتصاد وتصرف,FG+Ang,111.965,92.9885,111.5208
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,العلوم التقنية,FG+Ang,164.577,142.1656,128.86
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,علوم الإعلامية,FG+Ang,122.413,152.047,119.3174
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بتونس,جامعة قرطاج,اللغة والآداب والحضارة,13102,رياضة,FG+Ang,139.277,180.3164,92.7118
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بنابل,جامعة قرطاج,اللغة والآداب والحضارة,22101,آداب,FG+A,99.937,98.7931,97.7445
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بنابل,جامعة قرطاج,اللغة والآداب والحضارة,22101,رياضيات,FG+A,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بنابل,جامعة قرطاج,اللغة والآداب والحضارة,22101,علوم تجريبية,FG+A,109.603,116.507,109.1347
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بنابل,جامعة قرطاج,اللغة والآداب والحضارة,22101,إقتصاد وتصرف,FG+A,88.445,84.6582,89.2916
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بنابل,جامعة قرطاج,اللغة والآداب والحضارة,22101,علوم الإعلامية,FG+A,107.029,107.2432,96.3431
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30101,آداب,FG+A,100.238,99.4298,98.554
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30101,رياضيات,FG+A,108.289,100.3267,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30101,علوم تجريبية,FG+A,101.944,121.7446,111.6049
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30101,إقتصاد وتصرف,FG+A,78.853,86.9463,94.6101
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30101,علوم الإعلامية,FG+A,134.28,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بصفاقس,جامعة صفاقس,اللغة والآداب والحضارة,40101,آداب,FG+A,92.435,89.9482,90.3748
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بصفاقس,جامعة صفاقس,اللغة والآداب والحضارة,40101,رياضيات,FG+A,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بصفاقس,جامعة صفاقس,اللغة والآداب والحضارة,40101,علوم تجريبية,FG+A,120.006,112.775,100.445
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بصفاقس,جامعة صفاقس,اللغة والآداب والحضارة,40101,إقتصاد وتصرف,FG+A,81.705,89.455,88.5634
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بصفاقس,جامعة صفاقس,اللغة والآداب والحضارة,40101,علوم الإعلامية,FG+A,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50101,آداب,FG+A,96.3,92.3033,96.3372
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50101,رياضيات,FG+A,,180.84,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50101,علوم تجريبية,FG+A,118.369,120.3,113.8427
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50101,إقتصاد وتصرف,FG+A,81.943,78.9251,86.2491
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50101,علوم الإعلامية,FG+A,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,آداب,FG+Ang,97.985,92.205,92.54
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,رياضيات,FG+Ang,123.344,,116.405
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,علوم تجريبية,FG+Ang,144.488,140.8388,118.495
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,اقتصاد وتصرف,FG+Ang,88.094,86.6686,79.2452
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,العلوم التقنية,FG+Ang,129.454,112.9883,123.42
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,علوم الإعلامية,FG+Ang,120.115,110.355,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,رياضة,FG+Ang,157.884,,94.909
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,آداب,FG+Ang,76.639,73.4884,69.8837
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,رياضيات,FG+Ang,,135.47,118.22
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,علوم تجريبية,FG+Ang,124.29,124.8567,116.035
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,إقتصاد وتصرف,FG+Ang,82.025,84.8,91.9434
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,العلوم التقنية,FG+Ang,,121.865,108.9
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,علوم الإعلامية,FG+Ang,,,
