ramz_code,ramz_id,ramz_link,bac_type_id,bac_type_name,university_id,university_name,table_specialization,table_university,table_institution,table_location,table_criteria,institution,field_of_study,historical_scores,seven_percent
22202,322202,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=322202,3,علوم تجريبية,4,جامعة  قرطاج,الإجازة في الفنون التشكيلية,جامعة قرطاج,المعهد العالى للفنون الجميلة بنابل,نابل,FG+PH,"العنوان :
الهاتف :",الثقافة والفنون الجميلة والفنون والحرف : الثقافة والفنون الجميلة والفنون والحرف,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 102.1065, '2021': 109.465, '2022': 110.68, '2023': 108.7434, '2024': 95.74}",yes
10450,510450,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510450,5,العلوم التقنية,2,جامعة منوبة,الإجازة في علوم وتقنيات الأنشطة البدنية والرياضة,جامعة منوبة,المعهد العالي للرياضة و التربية البدنية بقصر السعيد,تونس,FG+Spt,"العنوان :
الهاتف :",السياحة والتنشيط والرياضة والتربية البدنية : السياحة والتنشيط والرياضة والتربية البدنية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 142.69, '2020': 136.8102, '2021': 146.82, '2022': 146.115, '2023': 141.6787, '2024': 150.2708}",yes
11573,211573,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=211573,2,رياضيات,4,جامعة  قرطاج,الإجازة في تكنولوجيات المعلومات والاتصالات,جامعة قرطاج,المعهد العالي لتكنولوجيا المعلومات والإتصال ببرج السدرية,بن عروس,FG+(M+SP+Info)/3,"العنوان :
الهاتف :",العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 118.025, '2020': 115.5326, '2021': 127.6403, '2022': 135.6511, '2023': 150.9414, '2024': 150.1817}",yes
11192,611192,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=611192,6,علوم الإعلامية,2,جامعة منوبة,المرحلة التحضيرية للغات والآداب:انقليزية,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+(AR+2ANG+F)/4,"العنوان :
الهاتف :",الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 111.885, '2022': 120.655, '2023': 142.95, '2024': 113.446}",no
10194,110194,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110194,1,آداب,1,جامعة تونس,مرحلة تحضيرية: علوم إنسانية - إختصاص جفرافيا,جامعة تونس,المعهد التحضيري للدراسات الأدبية والعلوم الإنسانية بتونس,تونس,FG+(AR+F+HG+PH)/4,"العنوان :
الهاتف :",الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 80.7502, '2015': 0.0, '2016': 0.0, '2017': 85.5, '2018': 92.704, '2019': 75.2058, '2020': 83.426, '2021': 96.9099, '2022': 84.0227, '2023': 86.5518, '2024': 89.446}",no
10347,210347,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210347,2,رياضيات,4,جامعة  قرطاج,الاجازة في علوم الشغل,جامعة قرطاج,المعهد الوطني للشغل والدراسات الإجتماعية بتونس,تونس,FG+PH,"العنوان :
الهاتف :",العلوم الإقتصادية وعلوم التصرف : العلوم الإقتصادية وعلوم التصرف,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 93.5218, '2021': 111.72, '2022': 110.18, '2023': 116.595, '2024': 121.665}",no
12104,312104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=312104,3,علوم تجريبية,4,جامعة  قرطاج,الإجازة في الإسبانية,جامعة قرطاج,المعهد العالي للغات بتونس,تونس,FG+ESP,"العنوان :
الهاتف :",الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 122.93, '2020': 131.645, '2021': 137.27, '2022': 124.8851, '2023': 135.9114, '2024': 126.581}",yes
20510,320510,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=320510,3,علوم تجريبية,4,جامعة  قرطاج,الإجازة في علوم الأرض,جامعة قرطاج,كلية العلوم ببنزرت,بنزرت,FG+SVT,"العنوان :
الهاتف :",العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,"{'2011': 101.3, '2012': 85.625, '2013': 90.1475, '2014': 85.2968, '2015': 85.1, '2016': 98.45, '2017': 93.5001, '2018': 87.7133, '2019': 96.8848, '2020': 94.5166, '2021': 85.0386, '2022': 76.3985, '2023': 73.5867, '2024': 79.302}",yes
10103,310103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310103,3,علوم تجريبية,1,جامعة تونس,الإجازة في الفرنسية,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+F,"العنوان :
الهاتف :",الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 122.4047, '2020': 124.4517, '2021': 119.8, '2022': 119.412, '2023': 147.3283, '2024': 115.1036}",yes
10101,310101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310101,3,علوم تجريبية,1,جامعة تونس,الإجازة في العربية,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+AR,"العنوان :
الهاتف :",الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 134.495, '2020': 114.2279, '2021': 108.52, '2022': 113.8213, '2023': 129.1169, '2024': 130.9413}",yes
